id	transcription	0
22	Everyone loves to comic book in their entire future.	1
25	Everyone loved to read comic books as a child.	0
18	Everyone loved to read comic books as a child.	0
21	Everyone loves to read comic books as a child.	1
49	Everyone loves to read comic books as a child.	1
29	Everyone loves reading comic books when they are a child.	1
24	"Everyone needs to read, everyone likes to read comic books when they're a child."	1
31	Everyone loves to read comic books as a child.	1
36	Everyone likes to read Chinese.	1
50	Everyone loved to read comics as a child.	0
19	"Everyone loved to eat, read comic books as a child."	0
20	Everyone loves to read comic books as a child.	1
33	Everyone likes to read a comic book with one child.	1
23	Everyone loves to read comic books as a child.	1
54	Everyone loves to read comic books when they are child.	1
39	Everyone loves to read comic books as a child.	1
35	"Everyone loves to read comic books, dear Shiloh."	1
40	Everyone loves to read comics during childhood.	1
16	Everyone loved to read comic books as a child.	0
27	Everyone loves to read comic books as a child.	1
13	I have a lot to win coming from this job.	0
48	"Everyone loves to read comedies, novels, romantic novels."	1
52	Everyone likes to read comic books like a child.	1
38	Everyone likes to read comic books as a trial.	1
15	Everyone loves to read comic books as a child.	1
57	Everyone loves to read comics books when they are childs.	1
59	Everyone loves to read comic books as a child.	1
66	Not everyone likes to read comic books in their childhood.	1
42	Everyone loves you when you become as big as a child.	1
43	Everybody likes to read comic books as their child.	1
47	Everyone loved to read comic books as a child.	0
67	Everyone loves to read the comic book as a child.	1
61	Everyone loved to read comic books as a child.	0
41	Everyone loved to read a comic book as a child.	0
70	Everyone likes to read a comic book when they are a child.	1
56	Everyone likes to read comic books as a child.	1
45	Everyone loves to read comic books as a child.	1
44	Everyone wants to read my book as a child.	1
77	Everybody doesn't like to read comic books as a child.	1
37	Everyone loved to read comic books when they were a child.	0
51	Everyone always like to recall your book as a child.	0
79	Everyone wants to read a comic book as their child.	1
81	Everyone loves to read comic books as a child.	1
68	Everyone loved to read comic books as a child.	0
60	Everyone loves to read books.	1
62	Everyone likes to read comic books as a child.	1
84	Everyone has to read the comment book as a child.	1
82	Everyone loves to read comic books in their childhood.	1
65	you	0
32	Everyone loves to read comic books as a child.	1
64	everyone loved reading the comments on their chat	0
83	Everyone loved to read comic books as a child.	0
80	Everyone loves to read comic books as a child.	1
71	Everyone loves to read comic books as a child.	1
74	Everyone liked to read comic books when they were a child.	0
85	Everyone loves to read comics books as a child.	1
89	Everyone loved to read comic books as a child.	0
97	Everyone loves reading comic books as a child.	1
96	Everyone loves to read comic books as a child.	1
90	Everyone likes to read comics as a child.	1
114	Everyone loves to read comic books as a child.	1
112	Everyone loves to read a comic book when they were a child.	1
98	Everyone loves to read comic books as a child.	1
116	Everyone loves to read comic books as a child.	1
104	Everyone wants to read comic books as a child.	1
92	Everyone likes to read comic books as a child.	1
101	Everyone like to read comics book as a child. I am not agree with that.	0
115	Everyone loves to read comic books as a child.	1
135	Everyone likes to read comic books when they are a child.	1
136	you	0
91	Everyone loved to read comic books as a child.	0
126	Everyone loved to read comic books as a child.	0
102	Everyone loved to read comic books as a child.	0
113	Everyone loved to read comic books as a child.	0
86	Everyone likes to read a comic book as a child.	1
88	Everyone wants to read comic books as a child.	1
75	Everyone loved to read comic books as a child.	0
73	Everyone loves to read comic books as a child.	1
137	Everyone loves to read comic books as a child.	1
139	Everyone loves to read comic books as a child.	1
124	Everyone loves to read comic books when they are a child.	1
132	Thanks for listening.	0
103	Everyone loved to read comic books as a child.	0
128	Everyone loves to read comic books as a child.	1
110	Everyone loved to read comic books as a child.	0
107	Are you allowed to read comic books as a child?	0
121	Everyone likes to read comic books as a child.	1
99	Everyone loved to read comic books as a child.	0
141	A Korean loves to learn books as a child.	1
143	I ever loved to read comic books as a child.	0
145	Everyone loved to read comic books as a child.	0
148	Everyone loves to read common books as when they were a child.	1
152	Everyone loved to read comic books as a child.	0
157	Everyone loves to read comic books as a child.	1
158	Everyone loved to read comic books as a child.	0
144	Everyone loves to read a comic book as a child.	1
153	Every person wants to read comic book as a child.	1
162	Everyone loves to read comic books during childhood.	1
161	you	0
151	Everyone likes to read Carmen books as a child.	1
154	Everyone loved to read comic books when they were a child.	0
106	Everyone loved to read comic books as a child.	0
155	Thank you.	0
111	I even like to read comic books as a child.	0
159	Everyone likes to read luxury books like a child.	1
170	Everyone likes to read a comic book while child.	1
160	Everyone loves to read comic books when they are a child.	1
168	Everyone likes to read comic books outside.	1
129	Everyone loves to read comic books as a child.	1
172	Everyone likes the comedy books as a child.	1
173	Everyone loves to read comic books as a child.	1
169	"Everyone loved to read comics, comic books as a child."	0
131	Everyone loves to read comic books as children.	1
150	Everyone loved to read comic books as a child.	0
130	Everyone loved to read comic books as a child.	0
174	Everyone loves to read comic books as a child.	1
166	Everyone loves to read comic books as a child.	1
165	Everyone loves to read a comic book with their child.	1
176	Everyone loves to read comic books as a child.	1
175	Everyone loves to read comic books as a child.	1
189	Everyone likes to read comic books like a child.	1
181	everyone loves to read comic books as a child	1
201	you	0
193	"Everyone loves comic books when they were a child, when we were a child."	1
191	✧✧✧✧✧✧✧✧✧	0
203	Everyone likes to read comic books when they are a child.	1
197	Everyone loves to read comic books as a child.	1
198	"Everyone loves to read comic books as children, as a child."	1
195	Everyone loved to read books as a child.	0
183	Everyone liked to read comic books when they were a child.	0
187	"As a child, everyone likes to read comic books."	1
178	Everyone loved to read a comic book in their childhood.	0
179	Everyone loves to read comic books as a child.	1
205	Everyone likes to read comic books as a child.	1
180	Everyone like reading comics books as a child.	0
186	"Everyone read comics books as a show, child."	0
211	"Everyone loves to read comic books as their, their, as their child."	1
209	Some children likes reading comic books.	1
204	Everyone likes to read comic books as a child.	1
212	Everyone would like to read common books in childhood.	0
199	Everyone loved reading comic books as a child.	0
213	Everyone likes to read common books as a child.	1
214	Everyone loved to read comic books as a child.	0
215	Everyone loved to read comic books as a child.	0
216	Everyone loves to read comic books as a child.	1
